id,link,title,content,screenshot_path,publish_time
4,https://ct.ah.gov.cn/zwxw/wlyw/8786882.html,2023安徽半汤露营旅游大会成功举办,,,
5,https://ct.ah.gov.cn/zwxw/wlyw/8782812.html,第九届中国农民歌会在滁州隆重举行,,,
6,https://ct.ah.gov.cn/zwxw/wlyw/8782640.html,周明洁厅长作“建设繁荣兴盛的文化强省”辅导报告,,,
7,https://ct.ah.gov.cn/zwxw/wlyw/8782563.html,省文化和旅游厅深化贯彻“五大”要求推动“六破六立”大讨论活动,,,
8,https://ct.ah.gov.cn/zwxw/wlyw/8782499.html,省文化和旅游厅召开学习贯彻习近平新时代中国特色社会主义思想主题教育总结会,,,
10,https://ct.ah.gov.cn/zwxw/wlyw/8788620.html,我省多名艺术人才精彩亮相国家级展演收获荣誉,,,
11,https://ct.ah.gov.cn/zwxw/wlyw/8788547.html,首届“安徽金牌导游”培训班举办,,,
12,https://ct.ah.gov.cn/zwxw/wlyw/8788341.html,赓续历史文脉 谱写当代华章,,,
13,https://ct.ah.gov.cn/zwxw/wlyw/8787950.html,“大地欢歌•美好安徽”全国秋季“村晚”屯溪区南溪南示范展示活动精彩呈现,,,
14,https://ct.ah.gov.cn/zwxw/wlyw/8788130.html,“520”安徽文旅惠民消费季收官之作！首届（安徽·芜湖）长江文化艺术交流周盛大启幕,,,
15,https://ct.ah.gov.cn/zwxw/wlyw/8787330.html,安徽两家单位成功入选2023年国家工业旅游示范基地,,,
16,https://ct.ah.gov.cn/zwxw/wlyw/8787307.html,徽风皖韵闪耀第八届中国成都国际非遗节,,,
17,https://ct.ah.gov.cn/zwxw/wlyw/8787295.html,省文化和旅游厅召开党组理论学习中心组（扩大）会议认真学习贯彻习近平文化思想、习近平总书记重要指示和全国宣传思想文化工作会议精神,,,
18,https://ct.ah.gov.cn/zwxw/wlyw/8787279.html,首届安徽省乡村民宿创意设计大赛决赛成功举办,,,
19,https://ct.ah.gov.cn/zwxw/wlyw/8787278.html,“大地欢歌•美好安徽”全国秋季“村晚”合肥长丰展示活动精彩上演,,,
20,https://www.gov.cn/zhengce/content/202311/content_6914161.htm,国办转发《关于规范实施政府和社会资本合作新机制的指导意见》,,,
21,https://www.gov.cn/zhengce/content/202311/content_6913271.htm,国务院批复同意在海南自由贸易港暂时调整实施有关行政法规规定,,,
22,https://www.gov.cn/zhengce/content/202311/content_6913197.htm,国务院印发《关于取消和调整一批罚款事项的决定》,,,
23,https://www.gov.cn/zhengce/content/202310/content_6912936.htm,国务院印发《中国（新疆）自由贸易试验区总体方案》,,,
24,https://www.gov.cn/zhengce/202310/content_6912954.htm,中办国办关于调整应急管理部职责机构编制的通知,,,
25,https://www.gov.cn/zhengce/202310/content_6912956.htm,国家消防救援局职能配置、内设机构和人员编制规定,,,
26,https://www.gov.cn/zhengce/content/202310/content_6912287.htm,国务院印发《关于开展第四次全国文物普查的通知》,,,
27,https://www.gov.cn/zhengce/content/202310/content_6911693.htm,国办函复同意辽宁省承办2028年第十五届全国冬季运动会,,,
28,https://www.gov.cn/zhengce/content/202310/content_6911527.htm,国务院办公厅关于2024年部分节假日安排的通知,,,
29,https://www.gov.cn/zhengce/zhengceku/202310/content_6911532.htm,关于优化2024年春节假期收费公路免收小型客车通行费时段的通知,,,
30,https://www.ah.gov.cn/zwyw/jryw/564276401.html,国务院安全生产和消防工作考核巡查组第二组来皖开展考核巡查,,,
31,https://www.ah.gov.cn/zwyw/jryw/564276391.html,省委常委会会议强调深入学习贯彻习近平总书记在中央金融工作会议上的重要讲话精神 扎实做好推进金融高质量发展、促进民营经济发展、深化国企改革工作,,,
32,https://www.ah.gov.cn/zwyw/jryw/564276381.html,韩俊在省委常委会会议暨省委财经委员会第四次会议上强调坚定扎实做好四季度经济工作 确保全年目标任务圆满收官,,,
33,https://www.ah.gov.cn/zwyw/jryw/564274071.html,王清宪与王钦敏和“信百会2023年会”嘉宾代表会谈,,,
34,https://www.ah.gov.cn/zwyw/jryw/564274061.html,省政府与中国气象局合作联席会议召开,,,
35,https://www.ah.gov.cn/zwyw/jryw/564274051.html,韩俊赴阜阳市调研经济社会发展情况,,,
36,https://www.ah.gov.cn/zwyw/jryw/564274041.html,省委常委会赴阜阳召开现场办公会,,,
37,https://www.ah.gov.cn/zwyw/jryw/564273771.html,韩俊与陈振林举行工作会谈,,,
38,https://www.ah.gov.cn/zwyw/jryw/564273761.html,王清宪与徐浩宇等医药业企业家举行工作会谈,,,
39,https://www.ah.gov.cn/zwyw/jryw/564273751.html,省政府与兴业银行签署战略合作协议,,,
40,https://ct.ah.gov.cn/ztzl/ahwhhlydfbzk/index.html,安徽文化和旅游地方标准库,,,
